Moscow;7;"495; 499";0,025;Москва;0,03375
St. Petersburg;7;812;0,033;;0,04455
Russia fixed 1;7;"336; 401; 477; 811; 813; 816; 817; 820; 844; 847; 851; 861; 862; 863; 865; 866; 867; 871; 872; 873; 877; 878; 879; 3412; 3422; 3432; 3433; 3452; 3462; 3492; 3512; 3522; 3532; 3812; 3832; 3842; 3852; 3882; 4712; 4722; 4732; 4742; 4752; 4812; 4822; 4832; 4842; 4852; 4862; 4872; 4912; 4922; 4932; 4942; 8312; 8332; 8342; 8352; 8362; 8412; 8422; 8452; 8462; rest*; ";0,025;Россия;0,03375
Russia fixed 2;7;"341; 347; 353; 471; 472; 473; 474; 475; 481; 482; 483; 484; 485; 486; 487; 491; 492; 493; 494; 496; 498; 831; 833; 834; 835; 836; 841; 842; 843; 845; 846; 848; 855; 3012; 3022; 3822; 3902; 3912; 3942; 3952";0,03;;0,0405
Russia fixed 3;7;"301; 302; 342; 343; 345; 346; 349; 351; 352; 381; 382; 383; 384; 385; 388; 390; 391; 394; 395; 411; 413; 415; 416; 421; 423; 424; 426; 427; 814; 815; 818; 821";0,051;;0,06885
Russia mobile 1 (Moscow);7;"90118; 90140; 901461; 901464; 901470; 9015; 90190; 901982-901983; 9100; 9104; 9150-9154; 916; 9175; 91910; 919139; 919410-919411; 91972; 91976-91977; 919784; 919786; 91996; 919970; 91999; 985; 925; 926; 9295-9296; 9299";0,035;;0,04725
Russia mobile 2;7;9;0,049;;0,06615
Russia mobile 3 (St. Petersburg);7;"91100-91103; 91108-91109; 9111-9112; 9117; 91181-91184; 9119; 98170-98174;9213; 9219; 92155-92159; 92163-92165; 92174-92179; 92140-92144; 92118; 921845-921849; 921855-921859; 92186-92189; 92109; 921111; 9291; 93120-93124; 90451; 95004; 95164-95165; 95220-95222; 95238-95239; 90433; 90455; 90460-90461; 90463-90464; 95000-95003; 95166-95168; 95223-95224; 95235-95237; 95334-95337; 90197; 90130-90132; 90137;";0,035;;0,04725
Russia mobile 4 (Beeline)**;7;"903; 905-906; 909; 960-964; 965";0,05;;0,0675
Russia GlobalTel;7;954;1,7;;2,295
